city,state,Correction,Census_Name,State
Campobello,SC,Correction needed,Campobello town, South Carolina
Groveton,TX,Correction needed,Groveton city, Texas
Hometown,WV,Correction needed,Hometown CDP, West Virginia
Markham,IL,Correction needed,Markham city, Illinois
Ventnor,NJ,No close match found,,
Hessel,MI,No close match found,,
Springdale,AR,Correction needed,Springdale city, Arkansas
Moncks Corner,SC,Correction needed,Moncks Corner town, South Carolina
Benton,AR,Correction needed,Benton city, Arkansas
Killeen,AL,No close match found,,
Macon,GA,No close match found,,
Wetumka,OK,Correction needed,Wetumka city, Oklahoma
Federal Way,WA,Correction needed,Federal Way city, Washington
Westlake,OH,Correction needed,Westlake city, Ohio
Irvine,CA,Correction needed,Irvine city, California
Lumberton,NC,Correction needed,Lumberton city, North Carolina
Concord,CA,Correction needed,Concord city, California
Morehead,KY,Correction needed,Morehead city, Kentucky
Livingston Parish,LA,Correction needed,Livingston town, Louisiana
Kent,WA,No close match found,,
Grants Pass,OR,Correction needed,Grants Pass city, Oregon
Santa Cruz,CA,Correction needed,Santa Cruz city, California
Holiday,FL,Correction needed,Holiday CDP, Florida
Paris,KY,No close match found,,
Benton Harbor,MI,Correction needed,Benton Harbor city, Michigan
Willoughby,OH,Correction needed,Willoughby city, Ohio
Muckleshoot Indian Reservation,WA,No close match found,,
Wildomar,CA,Correction needed,Wildomar city, California
Westover,AL,Correction needed,Westover town, Alabama
Edmonton,KY,Correction needed,Edmonton city, Kentucky
Peterson,MN,Correction needed,Peterson city, Minnesota
North St. Louis,MO,No close match found,,
Lincoln,CA,Correction needed,Lincoln city, California
Bartlesville,OK,Correction needed,Bartlesville city, Oklahoma
Carrollton,TX,Correction needed,Carrollton city, Texas
Elberton,GA,Correction needed,Elberton city, Georgia
North Royalton,OH,Correction needed,North Royalton city, Ohio
Morris,MN,Correction needed,Morris city, Minnesota
Leedey,OK,Correction needed,Leedey town, Oklahoma
Brookville,OH,Correction needed,Brookville city, Ohio
Chatsworth,CA,No close match found,,
Torrance,CA,Correction needed,Torrance city, California
Loganville,GA,Correction needed,Loganville city, Georgia
Chambersburg,PA,Correction needed,Chambersburg borough, Pennsylvania
Salisbury,NC,Correction needed,Salisbury city, North Carolina
Palm Springs,CA,Correction needed,Palm Springs city, California
Gladewater,TX,Correction needed,Gladewater city, Texas
Beaver,WA,No close match found,,
Clendenin,WV,Correction needed,Clendenin town, West Virginia
Okemah,OK,Correction needed,Okemah city, Oklahoma
Lealman,FL,Correction needed,Lealman CDP, Florida
Hensley,WV,No close match found,,
Maurice River,NJ,No close match found,,
Bowling Green,KY,Correction needed,Bowling Green city, Kentucky
Ashtabula,OH,Correction needed,Ashtabula city, Ohio
Show Low,AZ,Correction needed,Show Low city, Arizona
San Angelo,TX,Correction needed,San Angelo city, Texas
Montrose County,CO,Correction needed,Montrose city, Colorado
Bloomsburg,PA,Correction needed,Bloomsburg town, Pennsylvania
Webster,TX,Correction needed,Webster city, Texas
York County,PA,No close match found,,
Casa Grande,AZ,Correction needed,Casa Grande city, Arizona
Ludowici,GA,Correction needed,Ludowici city, Georgia
Brooklyn,NY,No close match found,,
Watsonville,CA,Correction needed,Watsonville city, California
Lompoc,CA,Correction needed,Lompico CDP, California
La Mirada,CA,Correction needed,La Mirada city, California
Jackson,TN,Correction needed,Jackson city, Tennessee
Hattiesburg,MS,Correction needed,Hattiesburg city, Mississippi
Surprise,AZ,Correction needed,Surprise city, Arizona
Naples,ME,Correction needed,Naples CDP, Maine
Olathe,KS,Correction needed,Olathe city, Kansas
Hickory,NC,Correction needed,Hickory city, North Carolina
Iva,SC,No close match found,,
Avon,IN,No close match found,,
Friendswood,TX,Correction needed,Friendswood city, Texas
Dover,AR,No close match found,,
Tuscumbia,AL,Correction needed,Tuscumbia city, Alabama
Simpsonsville,KY,Correction needed,Simpsonville city, Kentucky
Elkhart,IN,Correction needed,Elkhart city, Indiana
Hudson,OH,Correction needed,Hudson city, Ohio
Fruitland Park,FL,Correction needed,Fruitland Park city, Florida
Orange City,FL,Correction needed,Orange City city, Florida
Avella,PA,Correction needed,Avella CDP, Pennsylvania
Sioux City,IA,Correction needed,Salix city, Iowa
Fayetteville,NC,Correction needed,Fayetteville city, North Carolina
Allen,TX,No close match found,,
Forks Township,PA,No close match found,,
Leland,NC,Correction needed,Leland town, North Carolina
Keaau,HI,Correction needed,Keaau CDP, Hawaii
Greenwood,IN,Correction needed,Greenwood city, Indiana
Sumter,SC,Correction needed,Sumter city, South Carolina
Medicine Lodge,KS,Correction needed,Medicine Lodge city, Kansas
Bullhead City,AZ,Correction needed,Bullhead City city, Arizona
Fairmont,WV,Correction needed,Fairmont city, West Virginia
York,NE,No close match found,,
Fort Valley,GA,Correction needed,Fort Valley city, Georgia
Hampton,GA,Correction needed,Hampton city, Georgia
Hacienda Heights,CA,Correction needed,Hacienda Heights CDP, California
Dallas,OR,Correction needed,Dallas city, Oregon
Everett,WA,Correction needed,Everett city, Washington
Arlington,TN,Correction needed,Arlington town, Tennessee
Granite Falls,NC,Correction needed,Granite Falls town, North Carolina
Brawley,CA,Correction needed,Brawley city, California
Pharr,TX,No close match found,,
Coalinga,CA,Correction needed,Coalinga city, California
Knox,IN,No close match found,,
Burns Flat,OK,Correction needed,Burns Flat town, Oklahoma
Ponca City,OK,Correction needed,Ponca City city, Oklahoma
Palm Harbor,FL,Correction needed,Palm Harbor CDP, Florida
Capitol Heights,MD,Correction needed,Capitol Heights town, Maryland
Pico Rivera,CA,Correction needed,Pico Rivera city, California
Gadsden,AL,Correction needed,Gadsden city, Alabama
Lake Wales,FL,Correction needed,Lake Wales city, Florida
Middleburg,FL,Correction needed,Middleburg CDP, Florida
Desha,AR,Correction needed,Desha CDP, Arkansas
King City,OR,Correction needed,Brookings city, Oregon
Campbellton,TX,Correction needed,Campbell city, Texas
North Riverside,IL,Correction needed,North Riverside village, Illinois
Pearland,TX,Correction needed,Pearland city, Texas
Grass Valley,CA,Correction needed,Grass Valley city, California
Spring Hill,TN,Correction needed,Spring Hill city, Tennessee
Chestertown,MD,Correction needed,Manchester town, Maryland
Huntingdon County,PA,Correction needed,Huntingdon borough, Pennsylvania
Pensacola,FL,Correction needed,Pensacola city, Florida
Loxahatchee,FL,No close match found,,
Mankato,MN,Correction needed,Mankato city, Minnesota
Woodstock,GA,Correction needed,Woodstock city, Georgia
Villa Park,IL,Correction needed,Villa Park village, Illinois
Springfield,OH,Correction needed,Springfield city, Ohio
Gilmer,TX,Correction needed,Gilmer city, Texas
English,IN,Correction needed,English town, Indiana
Lancaster,KY,Correction needed,Lancaster city, Kentucky
Pomona,CA,Correction needed,Pomona city, California
Monteagle,TN,Correction needed,Monteagle town, Tennessee
Dinuba,CA,Correction needed,Dinuba city, California
Sharon,PA,Correction needed,Sharon city, Pennsylvania
Independence,MO,Correction needed,Independence city, Missouri
Elkridge,MD,Correction needed,Elkridge CDP, Maryland
Fairland,OK,Correction needed,Fairland town, Oklahoma
Princeton,WV,Correction needed,Princeton city, West Virginia
Cumming,GA,Correction needed,Cumming city, Georgia
Reagan,TN,No close match found,,
Austin,MN,Correction needed,Austin city, Minnesota
Pearisburg,VA,Correction needed,Pearisburg town, Virginia
Vineland,MN,Correction needed,Vineland CDP, Minnesota
Kahuku,HI,Correction needed,Kahuku CDP, Hawaii
Herndon,VA,Correction needed,Herndon town, Virginia
Fulton,KY,Correction needed,Fulton city, Kentucky
Tyrone,GA,Correction needed,Tyrone town, Georgia
Little Elm,TX,Correction needed,Little Elm city, Texas
Twentynine Palms,CA,Correction needed,Twentynine Palms city, California
Soddy-Daisy,TN,Correction needed,Soddy-Daisy city, Tennessee
Grand Forks,ND,Correction needed,Grand Forks city, North Dakota
Gary,IN,No close match found,,
Watts,OK,No close match found,,
Salinas,CA,Correction needed,Salinas city, California
Fritch,TX,Correction needed,Fritch city, Texas
Woodford,VA,No close match found,,
Florissant,MO,Correction needed,Florissant city, Missouri
Jean,NV,No close match found,,
Greenville,MS,Correction needed,Greenville city, Mississippi
Carson,CA,Correction needed,Carson city, California
Waldoboro,ME,Correction needed,Waldoboro CDP, Maine
Kenner,LA,Correction needed,Kenner city, Louisiana
Springfield,IL,Correction needed,Springfield city, Illinois
Brooklet,GA,Correction needed,Brooklet city, Georgia
Kuna,ID,No close match found,,
Lancaster City,PA,No correction,Lancaster city, Pennsylvania
Algoma Township,MI,No close match found,,
Atascadero,CA,Correction needed,Atascadero city, California
Millston,WI,Correction needed,Millston CDP, Wisconsin
Southaven,MS,Correction needed,Southaven city, Mississippi
Oxford,AL,Correction needed,Oxford city, Alabama
Madison Township,OH,No close match found,,
Overlea,MD,Correction needed,Overlea CDP, Maryland
Alhambra,CA,Correction needed,Alhambra city, California
Des Moines,WA,Correction needed,Des Moines city, Washington
Fort Stockton,TX,Correction needed,Fort Stockton city, Texas
Oakdale,CT,No close match found,,
Lynnwood,WA,Correction needed,Lynnwood city, Washington
Kiowa,OK,No close match found,,
Hollywood,CA,No close match found,,
Highland,CA,Correction needed,Highland city, California
Wichita Falls,TX,Correction needed,Wichita Falls city, Texas
Orange Park,FL,Correction needed,Orange Park town, Florida
Forest Park,IL,Correction needed,Forest Park village, Illinois
Grafton,WV,Correction needed,Grafton city, West Virginia
Rowland,NC,Correction needed,Rowland town, North Carolina
Panhandle,TX,Correction needed,Panhandle town, Texas
Olympic Valley,CA,No close match found,,
Moultrie,GA,Correction needed,Moultrie city, Georgia
Englewood,OH,Correction needed,Englewood city, Ohio
Commerce City,CO,Correction needed,Commerce City city, Colorado
Santa Monica,CA,Correction needed,Santa Monica city, California
Richmond,KY,Correction needed,Richmond city, Kentucky
Howland Township,OH,No close match found,,
Mt. Pleasant,TN,Correction needed,Mount Pleasant city, Tennessee
Jackson County,AL,Correction needed,Jackson city, Alabama
Anadarko,OK,Correction needed,Anadarko city, Oklahoma
Brookville,IN,Correction needed,Brookville town, Indiana
Crownpoint,NM,Correction needed,Crownpoint CDP, New Mexico
Geneva Township,OH,Correction needed,Geneva city, Ohio
Bridgeton,NJ,Correction needed,Bridgeton city, New Jersey
Bethany,OK,Correction needed,Bethany city, Oklahoma
Vassalboro,ME,No close match found,,
Aiea,HI,No close match found,,
Santa Barbara,CA,Correction needed,Santa Barbara city, California
Terrell,TX,Correction needed,Terrell city, Texas
Golden Shores,AZ,Correction needed,Golden Shores CDP, Arizona
Vincennes,IN,Correction needed,Vincennes city, Indiana
Newman,CA,Correction needed,Newman city, California
Cape Girardeau,MO,Correction needed,Cape Girardeau city, Missouri
Douglas City,CA,Correction needed,Douglas City CDP, California
Gardena,CA,Correction needed,Gardena city, California
Big Lake,AK,Correction needed,Big Lake CDP, Alaska
Grand Prairie,TX,Correction needed,Grand Prairie city, Texas
Efland,NC,Correction needed,Efland CDP, North Carolina
Portland,ME,Correction needed,Portland city, Maine
Bull Shoals,AR,Correction needed,Bull Shoals city, Arkansas
St. Joseph,MO,Correction needed,St. Joseph city, Missouri
Roy,UT,No close match found,,
Conroe,TX,Correction needed,Conroe city, Texas
Fairfax,OK,Correction needed,Fairfax town, Oklahoma
Newton,KS,Correction needed,Newton city, Kansas
London,KY,Correction needed,London city, Kentucky
Lumpkin,GA,Correction needed,Lumpkin city, Georgia
Rocklin,CA,Correction needed,Rocklin city, California
Floral City,FL,Correction needed,Doral city, Florida
Aragonite,UT,No close match found,,
Englewood,FL,Correction needed,Englewood CDP, Florida
Corning,WI,No close match found,,
Shelby,NC,Correction needed,Shelby city, North Carolina
Lufkin,TX,Correction needed,Lufkin city, Texas
San Marcos,CA,Correction needed,San Marcos city, California
Rib Mountain,WI,Correction needed,Rib Mountain CDP, Wisconsin
Lemoore,CA,Correction needed,Lemoore city, California
Englewood,CO,Correction needed,Englewood city, Colorado
Cabazon,CA,Correction needed,Cabazon CDP, California
Fountain Inn,SC,Correction needed,Fountain Inn city, South Carolina
Ladera Heights,CA,Correction needed,Ladera Heights CDP, California
Medina,OH,Correction needed,Medina city, Ohio
Riverside,CA,Correction needed,Riverside city, California
Union Township,PA,No close match found,,
Huntington Beach,CA,Correction needed,Huntington Beach city, California
Escondido,CA,Correction needed,Escondido city, California
East Baton Rouge,LA,No close match found,,
Midlothian,TX,Correction needed,Midlothian city, Texas
Bellingham,WA,Correction needed,Bellingham city, Washington
Woodlawn,MD,Correction needed,Woodland CDP, Maryland
Euclid,OH,Correction needed,Euclid city, Ohio
Panama City Beach,FL,Correction needed,Panama City Beach city, Florida
Fife,WA,No close match found,,
Toms River,NJ,Correction needed,Toms River CDP, New Jersey
Bandera,TX,Correction needed,Bandera city, Texas
Warren,MI,Correction needed,Warren city, Michigan
Lakeland,TN,Correction needed,Lakeland city, Tennessee
Cedartown,GA,Correction needed,Cedartown city, Georgia
Desert Hot Springs,CA,Correction needed,Desert Hot Springs city, California
Cape Canaveral,FL,Correction needed,Cape Canaveral city, Florida
Gifford,FL,Correction needed,Gifford CDP, Florida
Affton,MO,Correction needed,Affton CDP, Missouri
Weston,WI,No close match found,,
Crowley,LA,Correction needed,Crowley city, Louisiana
Booneville,KY,Correction needed,Booneville city, Kentucky
Sheridan,AR,Correction needed,Sheridan city, Arkansas
Cisco,TX,No close match found,,
Cottonwood,CA,No close match found,,
Delray Beach,FL,Correction needed,Delray Beach city, Florida
Anderson,CA,Correction needed,Anderson city, California
Montgomery Village,MD,Correction needed,Montgomery Village CDP, Maryland
Lewisburg,TN,Correction needed,Lewisburg city, Tennessee
Manistee,MI,Correction needed,Manistee city, Michigan
Lafayette,IN,Correction needed,Lafayette city, Indiana
Whitewright,TX,Correction needed,Whitewright town, Texas
Lawrenceburg,KY,Correction needed,Lawrenceburg city, Kentucky
New Castle,DE,Correction needed,New Castle city, Delaware
Byars,OK,No close match found,,
Stockton,IL,No close match found,,
Cranbury Township,NJ,Correction needed,Cranbury CDP, New Jersey
Cantonment,FL,No close match found,,
Pendleton,SC,Correction needed,Pendleton town, South Carolina
Goshen,IN,Correction needed,Goshen city, Indiana
Largo,FL,No close match found,,
Westerville,OH,Correction needed,Westerville city, Ohio
Kyle,SD,No close match found,,
Santa Paula,CA,Correction needed,Santa Paula city, California
Suffield,CT,No close match found,,
Udall,KS,No close match found,,
Avondale,AZ,Correction needed,Avondale city, Arizona
Mandan,ND,Correction needed,Mandan city, North Dakota
Spanaway,WA,Correction needed,Spanaway CDP, Washington
Colebrook Township,OH,No close match found,,
Newport Beach,CA,Correction needed,Newport Beach city, California
West Memphis,AR,Correction needed,West Memphis city, Arkansas
Vadnais Heights,MN,Correction needed,Vadnais Heights city, Minnesota
Clarksville,TN,Correction needed,Clarksville city, Tennessee
Brandywine,WV,Correction needed,Brandywine CDP, West Virginia
Logan County,OK,No close match found,,
West Linn,OR,Correction needed,West Linn city, Oregon
Portage,IN,Correction needed,Portage city, Indiana
Yuba City,CA,Correction needed,Dinuba city, California
Killeen,TX,Correction needed,Killeen city, Texas
Wolf Creek,OR,No close match found,,
Stewartstown,PA,Correction needed,Stewartstown borough, Pennsylvania
Lizella,GA,No close match found,,
Bellflower,CA,Correction needed,Bellflower city, California
Lewistown,PA,No close match found,,
Middletown,DE,Correction needed,Middletown town, Delaware
San Mateo,CA,Correction needed,San Mateo city, California
Eldorado,NM,No close match found,,
Papaaloa,HI,No close match found,,
Balch Springs,TX,Correction needed,Balch Springs city, Texas
University City,CA,Correction needed,Culver City city, California
Tom,OK,No close match found,,
Peachtree City,GA,Correction needed,Peachtree City city, Georgia
Grand Rapids,MI,Correction needed,Grand Rapids city, Michigan
Katy,TX,No close match found,,
Buffalo,NY,Correction needed,Buffalo city, New York
Brighton Township,MI,Correction needed,Brighton city, Michigan
Tiffin,OH,Correction needed,Tiffin city, Ohio
Lexington,SC,Correction needed,Lexington town, South Carolina
Bridgeport,CT,Correction needed,Bridgeport city, Connecticut
Barona Indian Reservation,CA,No close match found,,
Jupiter,FL,Correction needed,Jupiter town, Florida
Baldwin County,AL,No close match found,,
West Allis,WI,Correction needed,West Allis city, Wisconsin
Wewoka,OK,Correction needed,Wewoka city, Oklahoma
Del Mar,CA,Correction needed,Del Mar city, California
Three Forks,MT,Correction needed,Three Forks city, Montana
Tustin,CA,Correction needed,Tustin city, California
Belgrade,ME,No close match found,,
Lower Mount Bethel,PA,Correction needed,Mount Bethel CDP, Pennsylvania
Converse,LA,No close match found,,
Appleton,WI,Correction needed,Appleton city, Wisconsin
Mountain Home,ID,Correction needed,Mountain Home city, Idaho
Pahrump,NV,Correction needed,Pahrump CDP, Nevada
Canton,OH,Correction needed,Canton city, Ohio
San Rafael,NM,Correction needed,San Rafael CDP, New Mexico
Austell,GA,Correction needed,Austell city, Georgia
Oneida,TN,Correction needed,Oneida town, Tennessee
Cary,NC,No close match found,,
Gerrardstown,WV,No close match found,,
Vacaville,CA,Correction needed,Vacaville city, California
Arundel,ME,No close match found,,
Centennial,CO,Correction needed,Centennial city, Colorado
Hesperia,CA,Correction needed,Hesperia city, California
Petal,MS,No close match found,,
Abbeville,AL,Correction needed,Abbeville city, Alabama
Yulee,FL,Correction needed,Yulee CDP, Florida
Campo,CA,Correction needed,Campo CDP, California
Callahan,FL,Correction needed,Callahan town, Florida
Gonzales County,TX,Correction needed,Gonzales city, Texas
Lakes Wales,FL,Correction needed,Lake Wales city, Florida
Bardstown,KY,Correction needed,Bardstown city, Kentucky
Orrington,ME,No close match found,,
Hudson,NC,Correction needed,Hudson town, North Carolina
Dundalk,MD,Correction needed,Dundalk CDP, Maryland
Roland,OK,Correction needed,Roland town, Oklahoma
Lyons,IL,No close match found,,
Abilene,TX,Correction needed,Abilene city, Texas
North English,IA,Correction needed,North English city, Iowa
Cade,LA,No close match found,,
Trosper,KY,No close match found,,
Plano,TX,No close match found,,
Selma,CA,No close match found,,
Hampton,NH,Correction needed,Hampton CDP, New Hampshire
Jerseyville,IL,Correction needed,Jerseyville city, Illinois
Somerville,TN,Correction needed,Somerville town, Tennessee
Alexandria,VA,Correction needed,Alexandria city, Virginia
Newton,NH,No close match found,,
Water Valley,MS,Correction needed,Water Valley city, Mississippi
Madera,CA,Correction needed,Madera city, California
Montebello,CA,Correction needed,Montebello city, California
Waukesha,WI,Correction needed,Waukesha city, Wisconsin
Lehigh,KS,Correction needed,Lehigh city, Kansas
St. Clair Township,OH,No close match found,,
Franklin,TN,Correction needed,Franklin city, Tennessee
Millerton,OK,Correction needed,Millerton town, Oklahoma
Nevada,MO,Correction needed,Nevada city, Missouri
Deer Park,AL,Correction needed,Deer Park CDP, Alabama
Florence,OR,Correction needed,Florence city, Oregon
Rowe,NM,No close match found,,
Marietta,GA,Correction needed,Marietta city, Georgia
Lawndale,IL,No close match found,,
Bonaire,GA,No close match found,,
Hillsboro,OR,Correction needed,Hillsboro city, Oregon
Fishers,IN,Correction needed,Fishers city, Indiana
Pleasant View,CO,Correction needed,East Pleasant View CDP, Colorado
Richland,WA,Correction needed,Richland city, Washington
Centerville,UT,Correction needed,Centerville city, Utah
Vandalia,OH,Correction needed,Vandalia city, Ohio
Federal Heights,CO,Correction needed,Federal Heights city, Colorado
Madison,ME,Correction needed,Madison CDP, Maine
Sallisaw,OK,Correction needed,Sallisaw city, Oklahoma
Maeystown,IL,Correction needed,Mason town, Illinois
Mamou,LA,No close match found,,
Plant City,FL,Correction needed,Palatka city, Florida
Newton Grove,NC,Correction needed,Newton Grove town, North Carolina
Crescent City,FL,Correction needed,Crescent City city, Florida
Lacey,WA,No close match found,,
Bainbridge Island,WA,Correction needed,Bainbridge Island city, Washington
Uniontown,OH,Correction needed,Uniontown CDP, Ohio
North Branch,MN,Correction needed,North Branch city, Minnesota
Mt Airy,MD,No close match found,,
Golden Valley,AZ,Correction needed,Golden Valley CDP, Arizona
Leavenworth,KS,Correction needed,Leavenworth city, Kansas
Poplar Bluff,MO,Correction needed,Poplar Bluff city, Missouri
Grover Beach,CA,Correction needed,Grover Beach city, California
Lake View,SC,Correction needed,Lake View town, South Carolina
Goodyear,AZ,Correction needed,Goodyear city, Arizona
Crystal Springs,FL,Correction needed,Crystal Springs CDP, Florida
Pima,AZ,No close match found,,
Culpeper,VA,Correction needed,Culpeper town, Virginia
Springfield,OR,Correction needed,Springfield city, Oregon
Clay,AL,No close match found,,
Saginaw,MI,Correction needed,Saginaw city, Michigan
Neosho,MO,Correction needed,Neosho city, Missouri
Paulden,AZ,Correction needed,Paulden CDP, Arizona
Spencer,MA,Correction needed,Spencer CDP, Massachusetts
Marion,AR,Correction needed,Marie town, Arkansas
Vero Beach,FL,Correction needed,Vero Beach city, Florida
Grand Terrace,CA,Correction needed,Grand Terrace city, California
Homer,LA,No close match found,,
Chowchilla,CA,Correction needed,Chowchilla city, California
Wenatchee,WA,Correction needed,Wenatchee city, Washington
Avenal,CA,Correction needed,Avenal city, California
Glenville,NY,Correction needed,Alden village, New York
Norco,CA,No close match found,,
Melba,ID,No close match found,,
Los Banos,CA,Correction needed,Los Banos city, California
Oshkosh,WI,Correction needed,Oshkosh city, Wisconsin
Mt. Airy,NC,No close match found,,
Mannington,WV,Correction needed,Mannington city, West Virginia
Richmond,CA,Correction needed,Richmond city, California
Coushatta,LA,Correction needed,Coushatta town, Louisiana
Lima,OH,No close match found,,
Mead Township,PA,No close match found,,
Marine City,MI,Correction needed,Adrian city, Michigan
Lauderdale County,MS,Correction needed,Lauderdale CDP, Mississippi
Spanish Springs,NV,Correction needed,Spanish Springs CDP, Nevada
Surfside Beach,SC,Correction needed,Surfside Beach town, South Carolina
Santa Rosa,CA,Correction needed,Santa Rosa city, California
New Straitsville,OH,Correction needed,New Straitsville village, Ohio
Bon Aqua,TN,No close match found,,
Blue Summit,MO,Correction needed,Blue Summit CDP, Missouri
North Bergen,NJ,No close match found,,
Dalton,IL,No close match found,,
Junction City,KS,Correction needed,Junction City city, Kansas
Dyer,IN,No close match found,,
Channelview,TX,Correction needed,Channelview CDP, Texas
Frederickson,WA,Correction needed,Frederickson CDP, Washington
Cosby,TN,Correction needed,Cosby CDP, Tennessee
La Crosse,WI,Correction needed,La Crosse city, Wisconsin
Habersham,GA,No close match found,,
Thomasville,GA,Correction needed,Thomasville city, Georgia
Livermore,CA,Correction needed,Livermore city, California
Crenshaw County,AL,No close match found,,
Fairchance,PA,Correction needed,Fairchance borough, Pennsylvania
Bloomfield,NJ,No close match found,,
Brick,NJ,No close match found,,
Yellville,AR,Correction needed,Yellville city, Arkansas
Pardeeville,WI,Correction needed,Pardeeville village, Wisconsin
Steubenville,OH,Correction needed,Steubenville city, Ohio
Franklin,WI,Correction needed,Franklin city, Wisconsin
Morganton,NC,Correction needed,Morganton city, North Carolina
Durham,CA,Correction needed,Durham CDP, California
Orcutt,CA,Correction needed,Orcutt CDP, California
Orange,NJ,No close match found,,
Lemon Grove,CA,Correction needed,Lemon Grove city, California
Waterford Township,MI,No close match found,,
Woodville,GA,Correction needed,Woodville city, Georgia
Sunrise,FL,Correction needed,Sunrise city, Florida
Pine Bluff,AR,Correction needed,Pine Bluff city, Arkansas
Sharpsburg,KY,Correction needed,Sharpsburg city, Kentucky
Kettering,OH,Correction needed,Kettering city, Ohio
Farmington,NM,Correction needed,Farmington city, New Mexico
New Milford,CT,Correction needed,New Milford CDP, Connecticut
Watagua,TX,No close match found,,
Lincoln Parish,LA,No close match found,,
Jacksonville,AL,Correction needed,Jacksonville city, Alabama
Fort Myers,FL,Correction needed,Fort Myers city, Florida
Pittsfield,MA,Correction needed,Pittsfield city, Massachusetts
Mount Hope,WI,Correction needed,Mount Hope village, Wisconsin
Poultney,VT,No close match found,,
Longview,WA,Correction needed,Longview city, Washington
Columbus,GA,Correction needed,Columbus city, Georgia
Kendale Lakes,FL,Correction needed,Kendale Lakes CDP, Florida
Monett,MO,Correction needed,Monett city, Missouri
Arcata,CA,Correction needed,Arcata city, California
Huntersville,NC,Correction needed,Huntersville town, North Carolina
Youngtown,AZ,Correction needed,Youngtown town, Arizona
Bassett,CA,No close match found,,
Hixson,TN,No close match found,,
Great Falls,MT,Correction needed,Great Falls city, Montana
Quartzsite,AZ,Correction needed,Quartzsite town, Arizona
Frametown,WV,Correction needed,Bramwell town, West Virginia
Haymarket,VA,Correction needed,Haymarket town, Virginia
West Milford,WV,Correction needed,West Milford town, West Virginia
Oak Harbor,WA,Correction needed,Oak Harbor city, Washington
La Porte,TX,Correction needed,La Porte city, Texas
Bernice,LA,Correction needed,Bernice town, Louisiana
Independence,VA,Correction needed,Independence town, Virginia
Monroe,NC,Correction needed,Monroe city, North Carolina
Peoria,IL,Correction needed,Peoria city, Illinois
Rockwall,TX,Correction needed,Rockwall city, Texas
Boswell,OK,Correction needed,Boswell town, Oklahoma
Oceanside,CA,Correction needed,Oceanside city, California
New Castle,IN,Correction needed,New Castle city, Indiana
Palmetto,FL,Correction needed,Palmetto city, Florida
Coolin,ID,Correction needed,Coolin CDP, Idaho
Fairview,TN,Correction needed,Fairview city, Tennessee
Griffin,GA,Correction needed,Griffin city, Georgia
Spring Hill,FL,Correction needed,Spring Hill CDP, Florida
Palatka,FL,Correction needed,Palatka city, Florida
Columbus,IN,Correction needed,Columbus city, Indiana
North Fort Collins,CO,No close match found,,
Seward,AK,Correction needed,Seward city, Alaska
Canton Township,PA,No close match found,,
West Burlington,IA,Correction needed,West Burlington city, Iowa
Hialeah,FL,Correction needed,Hialeah city, Florida
West Ouachita,LA,No close match found,,
Parkton,NC,Correction needed,Parkton town, North Carolina
Jefferson City,MO,Correction needed,Jefferson City city, Missouri
Thomas County,GA,No close match found,,
Canandaigua,NY,Correction needed,Canandaigua city, New York
Leeds,AL,No close match found,,
Finney County,KS,No close match found,,
Hiram,GA,No close match found,,
Duarte,CA,Correction needed,Duarte city, California
Perryopolis,PA,Correction needed,Perryopolis borough, Pennsylvania
Golden,CO,Correction needed,Golden city, Colorado
Charleston,WV,Correction needed,Charleston city, West Virginia
Pinetop-Lakeside,AZ,Correction needed,Pinetop-Lakeside town, Arizona
Abingdon,VA,Correction needed,Abingdon town, Virginia
Rochester,WA,Correction needed,Rochester CDP, Washington
Valdez,CO,Correction needed,Valdez CDP, Colorado
Charlottesville,VA,Correction needed,Charlottesville city, Virginia
Wayne County,KY,No close match found,,
Picture Rocks,AZ,Correction needed,Picture Rocks CDP, Arizona
Kingwood,TX,No close match found,,
Simpsonville,SC,Correction needed,Simpsonville city, South Carolina
Hampton,VA,Correction needed,Hampton city, Virginia
Kings Mountain,NC,Correction needed,Kings Mountain city, North Carolina
Clearwater,FL,Correction needed,Clearwater city, Florida
Fort Smith,OK,No close match found,,
Moraine,OH,Correction needed,Moraine city, Ohio
Girard,OH,Correction needed,Girard city, Ohio
Cloverdale,CA,Correction needed,Cloverdale city, California
Crandon,WI,Correction needed,Crandon city, Wisconsin
Standing Rock Reservation,ND,No close match found,,
Shelbyville,KY,Correction needed,Shelbyville city, Kentucky
Plymouth Township,PA,No close match found,,
Horseheads,NY,Correction needed,Horseheads village, New York
Erie,PA,No close match found,,
Fairhope,AL,Correction needed,Fairhope city, Alabama
Indiantown,FL,Correction needed,Indialantic town, Florida
Polk County,OR,No close match found,,
Black River Falls,WI,Correction needed,Black River Falls city, Wisconsin
King of Prussia,PA,Correction needed,King of Prussia CDP, Pennsylvania
Tate County,MS,No close match found,,
Livingston,TN,Correction needed,Livingston town, Tennessee
Pippa Passes,KY,Correction needed,Pippa Passes city, Kentucky
Anniston,AL,Correction needed,Anniston city, Alabama
Inkster,MI,Correction needed,Inkster city, Michigan
Ohatchee,AL,Correction needed,Ohatchee town, Alabama
Batesville,AR,Correction needed,Batesville city, Arkansas
Port Orange,FL,Correction needed,Port Orange city, Florida
Owen County,IN,No close match found,,
Clarksville,AR,Correction needed,Clarksville city, Arkansas
Meridian,MS,Correction needed,Meridian city, Mississippi
Lynchburg,VA,Correction needed,Lynchburg city, Virginia
